Customer_ID,Age,Gender,Marital_Status,Education,Employment_Type,Annual_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Loan,Property_Area,State,Loan_Purpose,Loan_Status,Default_Status,Interest_Rate,EMI
CUST00015,41,Male,Married,Non-Graduate,Salaried,1698585,440530,180,809,No,Rural,Karnataka,Business,Approved,No,8.21,5461.35
CUST00016,48,Male,Married,Non-Graduate,Self-Employed,970173,1890634,36,601,No,Rural,Gujarat,Business,Approved,No,15.49,76922.54
CUST00017,55,Male,Married,Non-Graduate,Salaried,772203,712784,36,580,Yes,Semiurban,Maharashtra,Education,Approved,No,14.24,28257.93
CUST00018,42,Female,Married,Graduate,Self-Employed,1515352,1897865,12,599,Yes,Rural,Tamil Nadu,Education,Approved,Yes,8.63,171804.23
CUST00019,60,Male,Single,Graduate,Salaried,1877456,291531,36,758,Yes,Rural,Gujarat,Education,Approved,No,10.66,10687.85
CUST00020,43,Male,Single,Non-Graduate,Salaried,858956,1345269,12,707,Yes,Rural,Delhi,Home,Approved,No,10.2,123540.54
CUST00021,23,Female,Single,Non-Graduate,Self-Employed,1620499,1044465,180,793,No,Urban,Tamil Nadu,Home,Approved,No,14.12,18092.45
CUST00022,60,Male,Married,Non-Graduate,Salaried,1647960,969484,12,743,No,Rural,Tamil Nadu,Home,Approved,No,11.59,90153.93
CUST00023,30,Female,Single,Non-Graduate,Self-Employed,1880963,753650,60,835,Yes,Urban,Maharashtra,Education,Approved,No,8.15,17679.37
CUST00024,45,Female,Married,Non-Graduate,Self-Employed,731849,1649295,240,641,Yes,Urban,Maharashtra,Car,Approved,No,13.65,25632.79
CUST00025,28,Male,Married,Graduate,Salaried,667010,1969984,120,726,No,Urban,Karnataka,Business,Approved,No,10.57,33768.81
CUST00026,31,Female,Married,Graduate,Salaried,1855016,1336936,48,610,Yes,Urban,Karnataka,Home,Approved,No,9.37,38292.08
CUST00027,25,Male,Single,Graduate,Salaried,1897900,394855,240,763,Yes,Semiurban,Delhi,Car,Approved,No,10.38,5060.72
CUST00028,57,Female,Single,Non-Graduate,Salaried,586193,1605979,240,471,Yes,Rural,Tamil Nadu,Education,Approved,No,11.48,22055.44
CUST00029,58,Male,Single,Non-Graduate,Salaried,226734,1124961,24,702,Yes,Urban,Punjab,Home,Approved,No,10.09,56332.42
CUST00030,49,Female,Married,Graduate,Self-Employed,1123875,481374,360,685,No,Rural,Uttar Pradesh,Education,Approved,No,9.18,5019.66
CUST00031,25,Male,Single,Graduate,Salaried,226069,1514811,360,794,No,Urban,Delhi,Car,Approved,No,10.59,17576.02
CUST00032,29,Female,Married,Non-Graduate,Self-Employed,1983841,330783,84,498,Yes,Semiurban,Delhi,Home,Approved,No,7.17,5914.32
CUST00033,22,Female,Single,Graduate,Salaried,737198,1184106,48,508,No,Urban,Uttar Pradesh,Home,Rejected,No,13.95,38434.11
CUST00034,21,Female,Single,Non-Graduate,Salaried,1584199,1853847,180,619,Yes,Rural,Uttar Pradesh,Home,Approved,Yes,8.54,23492.36
CUST00035,60,Male,Married,Non-Graduate,Salaried,670951,333707,120,637,Yes,Rural,Uttar Pradesh,Home,Approved,Yes,7.4,4838.75
CUST00036,50,Male,Married,Graduate,Self-Employed,281264,427816,120,720,Yes,Semiurban,Maharashtra,Car,Rejected,No,12.88,8157.03
CUST00037,31,Female,Single,Graduate,Salaried,223275,1528236,360,639,No,Rural,Delhi,Home,Rejected,No,13.97,22036.31
CUST00038,48,Male,Single,Graduate,Self-Employed,796562,1036420,240,624,No,Rural,Delhi,Business,Approved,No,14.32,16686.36
CUST00039,32,Female,Single,Non-Graduate,Self-Employed,1723241,1500503,60,500,No,Urban,Gujarat,Business,Rejected,Yes,11.44,39313.18
CUST00040,59,Male,Married,Non-Graduate,Self-Employed,562920,1828254,84,813,No,Rural,Uttar Pradesh,Education,Approved,Yes,8.85,35248.3
CUST00041,46,Female,Married,Graduate,Salaried,391076,395114,12,504,No,Urban,Uttar Pradesh,Home,Approved,No,13.64,37417.3
CUST00042,33,Male,Single,Non-Graduate,Self-Employed,1442629,293373,84,693,Yes,Semiurban,Karnataka,Business,Approved,No,13.3,6744.09
CUST00043,28,Female,Single,Non-Graduate,Salaried,1202163,397697,24,769,Yes,Rural,Karnataka,Business,Approved,No,9.22,19626.35
CUST00044,48,Female,Married,Non-Graduate,Self-Employed,1958489,1260355,84,580,No,Urban,Tamil Nadu,Business,Rejected,No,15.13,30895.2
CUST00045,50,Female,Single,Graduate,Salaried,772735,1268758,240,756,No,Rural,Karnataka,Car,Approved,No,7.94,13681.44
CUST00046,29,Female,Married,Non-Graduate,Self-Employed,1112826,1096914,180,584,No,Urban,Rajasthan,Home,Approved,No,15.84,20573.23
CUST00047,59,Male,Married,Graduate,Salaried,799991,1815724,240,470,Yes,Semiurban,Tamil Nadu,Car,Rejected,No,14.74,29868.66
CUST00048,51,Female,Married,Graduate,Salaried,1062522,1705743,360,778,No,Urban,Punjab,Car,Approved,No,13.19,23487.13
CUST00049,41,Male,Married,Non-Graduate,Salaried,1003692,1006331,180,616,Yes,Rural,Uttar Pradesh,Business,Approved,No,15.45,18547.24
CUST00050,54,Male,Married,Graduate,Self-Employed,1361157,1336836,36,723,Yes,Urban,Gujarat,Business,Approved,No,13.5,52173.74
CUST00051,51,Female,Married,Non-Graduate,Self-Employed,1514532,973159,180,837,No,Rural,Karnataka,Education,Approved,No,8.71,12469.95
CUST00052,45,Male,Single,Graduate,Salaried,621240,1929867,84,538,Yes,Semiurban,Gujarat,Home,Approved,Yes,10.98,40632.89
CUST00053,32,Male,Married,Graduate,Self-Employed,1962592,1021129,84,765,Yes,Urban,Karnataka,Home,Approved,No,7.64,18657.49
CUST00054,21,Male,Married,Non-Graduate,Self-Employed,1102580,1937106,84,463,No,Rural,Karnataka,Business,Approved,Yes,10.51,40026.61
CUST00055,42,Female,Single,Graduate,Self-Employed,1144789,1769187,36,691,Yes,Rural,Gujarat,Business,Approved,No,13.67,69298.07
CUST00056,60,Male,Married,Graduate,Self-Employed,1209940,696701,360,714,No,Rural,Delhi,Home,Approved,No,10.48,8019.8
CUST00057,57,Male,Single,Graduate,Self-Employed,316421,836958,12,795,Yes,Urban,Delhi,Education,Approved,No,9.97,76700.23
CUST00058,21,Female,Married,Non-Graduate,Self-Employed,725893,380904,48,502,No,Urban,Delhi,Business,Approved,Yes,12.36,11858.81
CUST00059,21,Female,Single,Non-Graduate,Self-Employed,1712950,1146413,360,835,No,Urban,Rajasthan,Education,Approved,No,14.85,17371.34
CUST00060,41,Male,Single,Graduate,Salaried,272303,568349,84,789,Yes,Semiurban,Delhi,Car,Rejected,No,7.43,10285.09
CUST00061,35,Female,Married,Graduate,Salaried,358211,834838,360,541,No,Rural,Karnataka,Business,Approved,Yes,10.47,9602.96
CUST00062,37,Male,Married,Graduate,Self-Employed,1194653,847968,24,816,Yes,Rural,Uttar Pradesh,Car,Approved,No,8.42,41281.91
CUST00063,42,Male,Married,Non-Graduate,Salaried,387210,1651405,120,713,Yes,Semiurban,Maharashtra,Business,Approved,No,13.26,32009.73
CUST00064,58,Male,Married,Non-Graduate,Salaried,1062557,129083,120,484,No,Semiurban,Gujarat,Car,Approved,Yes,7.95,1930.87
CUST00065,55,Female,Single,Graduate,Salaried,344990,608819,48,655,Yes,Urban,Uttar Pradesh,Business,Rejected,No,12.98,19269.12
CUST00066,36,Male,Single,Non-Graduate,Self-Employed,1407094,1369432,48,530,No,Urban,Maharashtra,Education,Approved,No,9.58,39462.47
CUST00067,28,Female,Single,Non-Graduate,Self-Employed,324040,1464821,12,499,Yes,Urban,Uttar Pradesh,Education,Approved,No,8.79,132798.23
CUST00068,37,Female,Married,Non-Graduate,Self-Employed,868406,1950463,24,809,Yes,Urban,Rajasthan,Education,Approved,No,15.43,106349
CUST00069,37,Male,Single,Non-Graduate,Self-Employed,1771714,1697608,240,837,No,Urban,Maharashtra,Car,Approved,No,7.17,17216.57
CUST00070,46,Female,Married,Graduate,Self-Employed,618034,827147,360,451,Yes,Urban,Punjab,Education,Rejected,No,10.94,9838.45
CUST00071,33,Female,Married,Non-Graduate,Salaried,956254,1098382,180,839,Yes,Semiurban,Tamil Nadu,Car,Approved,No,7.19,12683.26
CUST00072,37,Female,Single,Non-Graduate,Self-Employed,1233255,704037,180,503,Yes,Semiurban,Delhi,Business,Rejected,No,11.35,10570.33
CUST00073,58,Female,Married,Graduate,Salaried,990756,1890117,240,555,Yes,Semiurban,Punjab,Car,Approved,No,11.51,26004.86
CUST00074,37,Female,Single,Graduate,Self-Employed,995543,1088836,120,709,Yes,Rural,Rajasthan,Business,Approved,No,9.89,18047.46
CUST00075,34,Male,Married,Non-Graduate,Salaried,1155614,1934276,240,759,Yes,Rural,Uttar Pradesh,Home,Approved,No,8.19,21260.92
CUST00076,26,Female,Single,Non-Graduate,Self-Employed,740677,1854673,360,640,Yes,Urban,Karnataka,Home,Approved,Yes,10.39,21210.25
CUST00077,55,Male,Married,Graduate,Self-Employed,1895041,891047,24,667,Yes,Semiurban,Delhi,Home,Approved,Yes,13.05,46817.09
CUST00078,34,Male,Single,Graduate,Self-Employed,1552147,656791,84,493,No,Rural,Punjab,Car,Approved,Yes,14.04,15503.4
CUST00079,28,Male,Single,Graduate,Self-Employed,1197083,1352922,36,611,Yes,Rural,Delhi,Home,Approved,No,11.78,50862.35
CUST00080,35,Male,Married,Non-Graduate,Self-Employed,1932682,659996,84,651,Yes,Semiurban,Maharashtra,Home,Approved,Yes,12.31,14627.55
CUST00081,47,Male,Married,Non-Graduate,Self-Employed,1371459,765472,36,719,No,Rural,Tamil Nadu,Home,Approved,No,8.81,26882.95
CUST00082,33,Male,Single,Graduate,Salaried,1991822,1725335,180,800,No,Rural,Delhi,Business,Approved,No,9.59,23373.5
CUST00083,51,Female,Married,Non-Graduate,Self-Employed,962501,1094244,48,753,No,Semiurban,Uttar Pradesh,Education,Approved,No,8.46,30511.17
CUST00084,55,Female,Married,Graduate,Salaried,587952,828513,360,720,Yes,Rural,Uttar Pradesh,Car,Approved,No,9.24,8680.98
CUST00085,26,Female,Married,Non-Graduate,Self-Employed,312221,1256237,84,664,No,Semiurban,Gujarat,Home,Rejected,No,9.02,24397.92
CUST00086,25,Male,Single,Graduate,Salaried,1230117,1783951,240,701,No,Rural,Gujarat,Business,Approved,No,11.68,24796.92
CUST00087,42,Female,Single,Graduate,Salaried,999666,210081,24,639,Yes,Semiurban,Delhi,Education,Approved,No,12.06,10864.69
CUST00088,43,Female,Married,Non-Graduate,Salaried,460669,1968317,24,745,Yes,Rural,Maharashtra,Education,Approved,No,15.5,107437.3
CUST00089,45,Female,Married,Non-Graduate,Salaried,959224,438590,120,662,No,Rural,Maharashtra,Education,Approved,Yes,8.76,6856.62
CUST00090,54,Male,Single,Non-Graduate,Salaried,1039873,1815982,24,657,No,Semiurban,Karnataka,Business,Approved,No,12.78,95006.12
CUST00091,46,Female,Married,Non-Graduate,Salaried,725134,943093,24,686,Yes,Rural,Rajasthan,Home,Approved,No,14.36,50581.22
CUST00092,25,Male,Single,Non-Graduate,Self-Employed,1783818,731503,48,787,Yes,Semiurban,Rajasthan,Education,Approved,No,12.04,22579.06
CUST00093,46,Female,Married,Non-Graduate,Salaried,1589959,1104730,240,816,Yes,Semiurban,Punjab,Business,Approved,No,9.3,13164.7
CUST00094,40,Male,Married,Graduate,Self-Employed,444761,727164,180,502,Yes,Rural,Rajasthan,Business,Approved,Yes,9.36,9711.68
CUST00095,26,Male,Married,Non-Graduate,Self-Employed,1032946,1009192,24,729,Yes,Urban,Tamil Nadu,Car,Approved,No,7.35,48230.97
CUST00096,26,Male,Single,Graduate,Salaried,1074668,1162864,180,666,No,Rural,Maharashtra,Business,Approved,No,9.75,15908.63
CUST00097,38,Female,Single,Graduate,Salaried,337541,101195,48,701,Yes,Urban,Karnataka,Education,Approved,No,13.7,3263.54
CUST00098,24,Female,Single,Non-Graduate,Self-Employed,1147609,332725,24,637,Yes,Urban,Gujarat,Education,Approved,No,7.43,15923.66
CUST00099,37,Male,Single,Graduate,Salaried,264323,495864,360,829,Yes,Rural,Uttar Pradesh,Business,Approved,No,8.97,5083.98
CUST00100,34,Female,Married,Graduate,Salaried,816210,342231,120,490,Yes,Urban,Rajasthan,Education,Rejected,No,13.36,6662.1
CUST00101,34,Male,Married,Non-Graduate,Salaried,1437715,755290,84,606,Yes,Semiurban,Gujarat,Business,Approved,No,14.04,17828.44
CUST00102,33,Male,Single,Non-Graduate,Salaried,1429024,214053,360,464,No,Semiurban,Gujarat,Education,Rejected,Yes,11.1,2574.58
CUST00103,27,Female,Married,Non-Graduate,Salaried,1949523,643586,60,750,Yes,Urban,Delhi,Car,Approved,No,13.28,17848.79
CUST00104,35,Female,Married,Graduate,Salaried,1154480,1931175,12,514,No,Semiurban,Tamil Nadu,Home,Approved,No,10.49,177812.94
CUST00105,39,Female,Single,Non-Graduate,Salaried,435659,1829240,24,794,Yes,Rural,Karnataka,Car,Approved,No,8.44,89083.99
CUST00106,55,Male,Married,Non-Graduate,Self-Employed,589678,1535200,180,776,No,Semiurban,Tamil Nadu,Car,Approved,No,10.58,22064.24
CUST00107,37,Male,Married,Non-Graduate,Salaried,1054016,1138075,12,458,No,Urban,Delhi,Home,Rejected,No,12.22,106428.98
CUST00108,55,Female,Single,Non-Graduate,Self-Employed,1353113,1486536,36,793,Yes,Rural,Karnataka,Education,Approved,No,15.53,60530.92
CUST00109,39,Male,Married,Graduate,Self-Employed,1064909,495485,24,578,Yes,Semiurban,Karnataka,Home,Rejected,No,7.62,23791.54
CUST00110,40,Female,Married,Non-Graduate,Self-Employed,441983,1792495,60,585,Yes,Rural,Maharashtra,Business,Rejected,Yes,11.57,47157.56
CUST00111,56,Male,Married,Graduate,Self-Employed,1815397,1343774,48,512,Yes,Urban,Tamil Nadu,Home,Approved,No,9.96,39148.62
CUST00112,55,Female,Single,Non-Graduate,Salaried,988260,1566111,120,588,Yes,Semiurban,Tamil Nadu,Car,Approved,No,11.57,28150.85
CUST00113,52,Female,Single,Graduate,Self-Employed,1250493,1865861,60,530,No,Rural,Maharashtra,Home,Rejected,Yes,7.22,42323.95
CUST00114,60,Male,Married,Graduate,Self-Employed,482762,1719211,180,841,Yes,Rural,Punjab,Education,Approved,No,9.82,23620.05
CUST00115,44,Female,Married,Graduate,Self-Employed,1805118,1409507,48,612,Yes,Semiurban,Gujarat,Car,Approved,No,14.38,46255.32
CUST00116,37,Female,Married,Non-Graduate,Self-Employed,986275,1396208,84,738,No,Rural,Delhi,Business,Approved,No,11.99,30571.97
CUST00117,27,Male,Single,Graduate,Self-Employed,1616012,386585,48,828,Yes,Rural,Tamil Nadu,Education,Approved,No,11.06,11616.88
CUST00118,21,Female,Single,Non-Graduate,Salaried,1758506,1828599,24,710,No,Urban,Maharashtra,Car,Approved,No,9.57,90774.7
CUST00119,55,Male,Single,Non-Graduate,Salaried,771650,72431,12,680,Yes,Urban,Uttar Pradesh,Business,Approved,Yes,9.68,6620.19
CUST00120,52,Female,Married,Non-Graduate,Self-Employed,482272,1422401,12,490,No,Urban,Punjab,Education,Rejected,Yes,10.45,130920.16
CUST00121,56,Male,Married,Non-Graduate,Salaried,585925,1293131,180,477,Yes,Urban,Karnataka,Business,Approved,Yes,14.52,22830.95
CUST00122,33,Female,Married,Non-Graduate,Salaried,966641,697008,48,584,No,Urban,Rajasthan,Home,Rejected,No,15.7,23640.19
CUST00123,26,Female,Married,Graduate,Self-Employed,914743,623441,60,650,No,Urban,Uttar Pradesh,Home,Approved,No,10.95,16079.58
CUST00124,34,Female,Married,Non-Graduate,Self-Employed,789833,318512,180,777,Yes,Semiurban,Maharashtra,Business,Approved,No,10.54,4567.11
CUST00125,57,Female,Single,Graduate,Self-Employed,1330756,948792,120,717,Yes,Urban,Rajasthan,Home,Approved,No,14.62,19466.05
CUST00126,35,Male,Married,Graduate,Salaried,1860822,226076,180,482,Yes,Rural,Gujarat,Business,Approved,No,10.84,3298.2
CUST00127,24,Male,Married,Graduate,Self-Employed,603081,1318300,180,497,No,Semiurban,Delhi,Education,Approved,No,11.97,20473.93
CUST00128,60,Male,Married,Graduate,Salaried,1119723,1997763,84,511,No,Rural,Rajasthan,Car,Rejected,No,9.08,38899.3
CUST00129,36,Male,Single,Graduate,Salaried,501953,1679849,360,665,No,Urban,Punjab,Business,Approved,No,13.69,23830.52
CUST00130,48,Male,Married,Graduate,Salaried,578892,1935077,24,742,Yes,Urban,Gujarat,Car,Approved,No,11.79,99640.34
CUST00131,36,Male,Single,Graduate,Self-Employed,205287,1413046,84,548,Yes,Rural,Rajasthan,Car,Approved,Yes,14.28,33637.22
CUST00132,24,Male,Single,Non-Graduate,Salaried,1506241,1731601,12,621,No,Rural,Karnataka,Business,Approved,No,14.03,164545.39
CUST00133,46,Female,Single,Graduate,Self-Employed,1257088,1834997,12,809,Yes,Rural,Karnataka,Home,Approved,No,8.94,166587.14
CUST00134,48,Female,Single,Non-Graduate,Self-Employed,856702,728758,36,663,No,Semiurban,Punjab,Education,Approved,No,13.44,28405.37
CUST00135,52,Female,Single,Graduate,Self-Employed,1704868,803753,36,484,Yes,Urban,Karnataka,Car,Approved,No,14.2,31837.55
CUST00136,22,Female,Married,Graduate,Self-Employed,1357448,100861,60,676,Yes,Rural,Karnataka,Education,Approved,No,10.11,2530.77
CUST00137,51,Male,Married,Graduate,Self-Employed,293070,1436617,12,550,No,Urban,Maharashtra,Car,Rejected,No,8.55,129953.98
CUST00138,23,Male,Single,Graduate,Salaried,1852631,1311553,360,580,Yes,Rural,Karnataka,Business,Rejected,No,7.02,11315.79
CUST00139,28,Male,Single,Non-Graduate,Salaried,822117,701406,84,706,Yes,Urban,Uttar Pradesh,Home,Approved,No,11.06,14814.7
CUST00140,44,Female,Single,Non-Graduate,Salaried,1144118,1953585,120,454,Yes,Semiurban,Karnataka,Education,Rejected,No,10.17,32836.51
CUST00141,35,Male,Married,Non-Graduate,Salaried,1678050,771001,360,667,Yes,Urban,Uttar Pradesh,Car,Approved,No,11.99,9845.25
CUST00142,51,Female,Married,Graduate,Salaried,1211293,59078,36,704,Yes,Rural,Maharashtra,Business,Approved,No,8.69,2068.88
CUST00143,29,Male,Single,Graduate,Self-Employed,1290654,374912,48,847,No,Urban,Karnataka,Business,Approved,No,14.74,12415.84
CUST00144,59,Male,Married,Graduate,Self-Employed,1617008,1673911,360,808,Yes,Semiurban,Punjab,Car,Approved,No,9.32,17650.46
CUST00145,22,Male,Married,Non-Graduate,Salaried,807812,908058,360,732,No,Semiurban,Gujarat,Car,Approved,Yes,9.04,9363.09
CUST00146,28,Male,Single,Graduate,Salaried,427645,894092,360,842,Yes,Urban,Punjab,Car,Approved,No,11.33,10925.31
CUST00147,27,Female,Single,Non-Graduate,Salaried,1785083,1858322,360,656,Yes,Rural,Gujarat,Home,Approved,No,11.49,22955.44
CUST00148,59,Female,Married,Non-Graduate,Self-Employed,986667,1017290,360,464,No,Semiurban,Tamil Nadu,Car,Rejected,No,8.94,10404.62
CUST00149,36,Male,Married,Graduate,Self-Employed,1553649,1493717,36,795,No,Semiurban,Gujarat,Car,Approved,No,9.45,53255.16
CUST00150,55,Female,Married,Graduate,Self-Employed,1375885,265048,12,491,Yes,Urban,Delhi,Home,Rejected,No,8.53,23971.38
CUST00151,50,Male,Single,Non-Graduate,Salaried,1578164,810581,180,829,Yes,Semiurban,Delhi,Business,Approved,No,13.47,13602
CUST00152,30,Male,Single,Non-Graduate,Salaried,1912503,1740696,360,628,No,Semiurban,Delhi,Car,Approved,No,13.93,25041.85
CUST00153,58,Male,Single,Non-Graduate,Salaried,1088266,966838,360,512,No,Rural,Maharashtra,Education,Rejected,Yes,11.16,11677.25
CUST00154,38,Male,Married,Graduate,Salaried,1712584,699438,24,801,No,Rural,Punjab,Business,Approved,No,13.43,36971.13
CUST00155,25,Female,Married,Graduate,Self-Employed,1969377,1255663,12,680,No,Rural,Gujarat,Education,Approved,No,13.62,118890.36
CUST00156,49,Male,Single,Graduate,Salaried,546699,83320,180,690,Yes,Urban,Punjab,Car,Approved,No,8.24,1035.02
CUST00157,59,Male,Married,Graduate,Salaried,1584418,377025,120,501,Yes,Semiurban,Uttar Pradesh,Home,Rejected,Yes,15.7,8074.62
CUST00158,54,Female,Single,Graduate,Salaried,586594,665115,120,545,Yes,Urban,Delhi,Home,Approved,Yes,14.39,13518.46
CUST00159,43,Male,Married,Graduate,Self-Employed,972608,1611863,48,837,Yes,Semiurban,Tamil Nadu,Home,Approved,No,8.84,45454.54
CUST00160,25,Female,Single,Non-Graduate,Self-Employed,1909351,414359,240,671,Yes,Semiurban,Maharashtra,Car,Approved,Yes,8.68,4723.69
CUST00161,50,Male,Married,Non-Graduate,Salaried,1940095,993793,84,680,No,Semiurban,Tamil Nadu,Car,Approved,Yes,8.13,18563.82
CUST00162,26,Male,Married,Non-Graduate,Self-Employed,1292501,1358507,24,686,No,Rural,Gujarat,Education,Approved,Yes,8.25,65944.19
CUST00163,24,Male,Single,Graduate,Self-Employed,1244027,993187,12,592,No,Urban,Karnataka,Home,Rejected,Yes,13.73,94129.3
CUST00164,49,Male,Single,Non-Graduate,Self-Employed,337023,456845,12,620,Yes,Urban,Tamil Nadu,Car,Rejected,No,11.23,42345.72
CUST00165,43,Male,Single,Graduate,Self-Employed,1335964,1946558,240,478,No,Semiurban,Karnataka,Business,Rejected,No,14.05,30901.61
CUST00166,26,Male,Single,Graduate,Self-Employed,732295,1647690,48,485,Yes,Urban,Maharashtra,Car,Approved,No,13.72,53165.46
CUST00167,52,Female,Single,Non-Graduate,Salaried,1506378,150734,60,462,Yes,Rural,Tamil Nadu,Car,Rejected,No,12.44,4074.84
CUST00168,38,Male,Married,Graduate,Salaried,1683624,207702,36,609,Yes,Urban,Tamil Nadu,Business,Rejected,No,13.18,8050.76
CUST00169,35,Female,Single,Non-Graduate,Salaried,258596,804122,48,776,No,Semiurban,Rajasthan,Home,Approved,No,7.17,21557.17
CUST00170,60,Female,Single,Non-Graduate,Self-Employed,1148027,1275811,180,636,Yes,Rural,Maharashtra,Business,Approved,Yes,9.81,17517.59
CUST00171,52,Male,Single,Graduate,Self-Employed,551005,1197087,48,692,Yes,Rural,Maharashtra,Home,Approved,No,12.74,37648.39
CUST00172,29,Female,Single,Non-Graduate,Self-Employed,1073172,1033939,240,535,No,Semiurban,Delhi,Business,Rejected,No,7.08,10408.32
CUST00173,57,Male,Single,Non-Graduate,Self-Employed,1788388,1372373,240,733,Yes,Urban,Gujarat,Education,Approved,Yes,7.3,14066.82
CUST00174,30,Female,Married,Non-Graduate,Salaried,722244,1781897,84,515,No,Semiurban,Tamil Nadu,Home,Approved,No,14.67,42996.75
CUST00175,40,Male,Single,Non-Graduate,Salaried,1661074,656229,24,619,Yes,Urban,Punjab,Car,Rejected,No,13.16,34539.52
CUST00176,26,Female,Single,Graduate,Salaried,879290,779497,360,494,No,Urban,Tamil Nadu,Education,Rejected,No,9.39,8264.83
CUST00177,23,Female,Single,Non-Graduate,Salaried,699097,1918670,120,511,Yes,Rural,Uttar Pradesh,Home,Approved,Yes,13.19,37078.3
CUST00178,31,Male,Married,Non-Graduate,Salaried,849789,148818,240,583,Yes,Semiurban,Maharashtra,Home,Rejected,Yes,14.13,2372.41
CUST00179,37,Female,Married,Non-Graduate,Salaried,1396632,1023950,84,733,No,Rural,Punjab,Home,Approved,No,9.76,20518.01
CUST00180,52,Male,Single,Graduate,Self-Employed,1262636,202360,36,477,Yes,Semiurban,Maharashtra,Business,Approved,Yes,7.32,6855.51
CUST00181,24,Male,Single,Non-Graduate,Self-Employed,1986921,1876491,120,557,No,Semiurban,Gujarat,Home,Rejected,No,15.4,39719.06
CUST00182,24,Male,Married,Graduate,Salaried,1725848,669369,60,493,Yes,Rural,Maharashtra,Car,Approved,No,10.11,16795.58
CUST00183,37,Male,Married,Non-Graduate,Self-Employed,1767121,611165,12,789,No,Semiurban,Karnataka,Home,Approved,No,7.96,54984.48
CUST00184,39,Male,Married,Non-Graduate,Salaried,1029735,423706,36,735,Yes,Semiurban,Karnataka,Car,Approved,No,11.43,15805.41
CUST00185,25,Female,Single,Non-Graduate,Salaried,1438855,982817,60,780,Yes,Urban,Rajasthan,Car,Approved,No,13.92,27780.96
CUST00186,52,Female,Single,Graduate,Self-Employed,930406,1310533,120,577,Yes,Semiurban,Karnataka,Car,Approved,No,8.99,20739.18
CUST00187,42,Female,Married,Graduate,Salaried,1933223,122715,36,797,No,Semiurban,Karnataka,Education,Approved,No,9.43,4373.09
CUST00188,26,Male,Single,Graduate,Salaried,1288287,191398,84,680,No,Rural,Gujarat,Car,Approved,Yes,9.18,3742.74
CUST00189,55,Female,Married,Graduate,Salaried,1391602,1732955,60,639,No,Rural,Tamil Nadu,Business,Approved,No,15.93,51887.56
CUST00190,42,Female,Married,Graduate,Self-Employed,535484,1617628,12,674,No,Semiurban,Karnataka,Home,Approved,No,8.78,146637.98
CUST00191,21,Female,Married,Graduate,Self-Employed,665317,1231208,360,834,No,Urban,Punjab,Business,Approved,No,12.18,15916.78
CUST00192,40,Female,Single,Non-Graduate,Self-Employed,1189024,915580,84,826,Yes,Urban,Rajasthan,Education,Approved,Yes,15.33,22596.3
CUST00193,42,Female,Married,Graduate,Self-Employed,418134,133186,180,732,Yes,Rural,Maharashtra,Home,Approved,No,8.32,1663.35
CUST00194,31,Male,Married,Non-Graduate,Salaried,1351550,1785826,12,570,Yes,Semiurban,Karnataka,Car,Approved,No,15.74,172242.92
